"","st_abr"
"1","ak"
"2","al"
"3","ar"
"4","az"
"5","ca"
"6","co"
"7","ct"
"8","dc"
"9","de"
"10","fl"
"11","ga"
"12","hi"
"13","ia"
"14","id"
"15","il"
"16","in"
"17","ks"
"18","ky"
"19","la"
"20","ma"
"21","md"
"22","me"
"23","mi"
"24","mn"
"25","mo"
"26","ms"
"27","mt"
"28","nc"
"29","nd"
"30","ne"
"31","nh"
"32","nj"
"33","nm"
"34","nv"
"35","ny"
"36","oh"
"37","ok"
"38","or"
"39","pa"
"40","pr"
"41","ri"
"42","sc"
"43","sd"
"44","tn"
"45","tx"
"46","ut"
"47","va"
"48","vt"
"49","wa"
"50","wi"
"51","wv"
"52","wy"
